시도,날짜,일조시간
경남,2022-06,175.71428571428572
경남,2022-07,181.29999999999998
경남,2022-08,145.1142857142857
경남,2022-09,146.84285714285716
경남,2022-10,220.42142857142858
경남,2022-11,192.82142857142858
경남,2022-12,197.47142857142856
경남,2023-01,204.75714285714284
경남,2023-02,175.65
경남,2023-03,215.16428571428574
경남,2023-04,200.15714285714284
경남,2023-05,187.85
경남,2023-06,197.97857142857143
경남,2023-07,120.20714285714287
경남,2023-08,200.97857142857143
경남,2023-09,151.43571428571428
경남,2023-10,220.70714285714286
경남,2023-11,191.5
경남,2023-12,169.04285714285714
경남,2024-01,186.82142857142858
경남,2024-02,113.47857142857143
경남,2024-03,201.10714285714286
경남,2024-04,167.21428571428572
경남,2024-05,265.3357142857143
경남,2024-06,203.79999999999998
경남,2024-07,144.1142857142857
경남,2024-08,248.6
경남,2024-09,174.68571428571428
경남,2024-10,142.4142857142857
경남,2024-11,157.9
경남,2024-12,204.02142857142857
경북,2020-01,143.77142857142857
경북,2020-02,186.05714285714288
경북,2020-03,231.09285714285716
경북,2020-04,260.5857142857143
경북,2020-05,234.07142857142858
경북,2020-06,229.67142857142858
경북,2020-07,104.31428571428572
경북,2020-08,162.49285714285716
경북,2020-09,147.45000000000002
경북,2020-10,204.87142857142857
경북,2020-11,173.21428571428572
경북,2020-12,191.07142857142858
경북,2021-01,182.17857142857142
경북,2021-02,196.97857142857143
경북,2021-03,193.28571428571428
경북,2021-04,224.18571428571428
경북,2021-05,197.69285714285712
경북,2021-06,186.1142857142857
경북,2021-07,211.92857142857142
경북,2021-08,123.14999999999999
경북,2021-09,131.95
경북,2021-10,171.17142857142858
경북,2021-11,183.97142857142856
경북,2021-12,186.00714285714284
경북,2022-01,205.33571428571426
경북,2022-02,216.28571428571428
경북,2022-03,191.53571428571428
경북,2022-04,250.16428571428574
경북,2022-05,303.1928571428571
경북,2022-06,193.47142857142856
경북,2022-07,160.00714285714284
경북,2022-08,134.81428571428572
경북,2022-09,151.16428571428574
경북,2022-10,179.7642857142857
경북,2022-11,187.60714285714286
경북,2022-12,180.55714285714288
경북,2023-01,196.1
경북,2023-02,170.24285714285716
경북,2023-03,230.46428571428572
경북,2023-04,208.69285714285712
경북,2023-05,222.15714285714284
경북,2023-06,221.49285714285716
경북,2023-07,149.35
경북,2023-08,186.83571428571426
경북,2023-09,150.7642857142857
경북,2023-10,214.31428571428572
경북,2023-11,191.02857142857144
경북,2023-12,163.50714285714284
경북,2024-01,175.62857142857143
경북,2024-02,97.99285714285715
경북,2024-03,197.07857142857142
경북,2024-04,193.2642857142857
경북,2024-05,270.37857142857143
경북,2024-06,247.15714285714284
경북,2024-07,156.22857142857143
경북,2024-08,239.60714285714286
경북,2024-09,156.49285714285716
경북,2024-10,130.03571428571428
경북,2024-11,144.24285714285716
경북,2024-12,198.27857142857144
광주,2020-01,136.5
광주,2020-02,177.0
광주,2020-03,242.0
광주,2020-04,278.1
광주,2020-05,211.3
광주,2020-06,191.4
광주,2020-07,69.5
광주,2020-08,169.8
광주,2020-09,158.7
광주,2020-10,227.6
광주,2020-11,176.7
광주,2020-12,186.5
광주,2021-01,164.3
광주,2021-02,175.3
광주,2021-03,220.5
광주,2021-04,230.4
광주,2021-05,212.8
광주,2021-06,200.6
광주,2021-07,182.3
