지점,날짜,발전기명,설비용량(MW),발전량(MWh),평균기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),합계 일조시간(hr),합계 일사량(MJ/m2)
진주,2022-08-13,경상대태양광,0.905,3.25728,28.1,0.0,0.8,84.8,6.5,17.9
진주,2022-08-14,경상대태양광,0.905,3.79584,29.3,,1.4,78.6,10.8,21.2
진주,2022-08-15,경상대태양광,0.905,3.5532,29.6,,1.9,74.0,9.1,19.2
진주,2022-08-16,경상대태양광,0.905,0.7236,26.6,27.7,1.3,89.9,0.0,4.7
진주,2022-08-17,경상대태양광,0.905,1.23624,25.2,4.6,0.8,91.9,2.3,8.8
진주,2022-08-18,경상대태양광,0.905,4.15368,25.2,,0.9,80.3,11.5,22.8
진주,2022-08-19,경상대태양광,0.905,3.64248,27.0,,1.1,83.4,7.8,18.3
진주,2022-08-20,경상대태양광,0.905,1.1052,27.1,24.2,0.8,92.0,0.8,6.3
진주,2022-08-21,경상대태양광,0.905,3.49488,26.8,,0.9,80.3,8.0,20.9
진주,2022-08-22,경상대태양광,0.905,4.26816,25.7,,0.8,76.4,10.8,22.6
진주,2022-08-23,경상대태양광,0.905,1.90584,25.8,0.5,0.4,86.8,2.1,9.7
진주,2022-08-24,경상대태양광,0.905,0.93024,22.3,40.2,1.0,92.4,0.7,7.1
진주,2022-08-25,경상대태양광,0.905,3.99312,24.0,,0.7,78.6,9.4,21.1
진주,2022-08-26,경상대태양광,0.905,4.6872,24.0,,0.9,70.6,11.0,23.0
진주,2022-08-27,경상대태양광,0.905,3.2328,21.6,,0.6,75.9,5.9,16.5
진주,2022-08-28,경상대태양광,0.905,4.22784,20.7,,0.7,71.5,8.8,21.4
진주,2022-08-29,경상대태양광,0.905,2.19528,21.5,0.0,0.7,78.6,2.7,10.5
진주,2022-08-30,경상대태양광,0.905,0.396,21.3,20.6,0.5,91.9,0.1,2.8
진주,2022-08-31,경상대태양광,0.905,1.45584,22.7,0.3,0.6,90.6,0.8,8.3
진주,2022-09-01,경상대태양광,0.905,1.56672,21.9,0.0,0.7,85.9,2.2,7.3
진주,2022-09-02,경상대태양광,0.905,0.27648,20.6,4.7,0.5,93.8,0.0,2.5
진주,2022-09-03,경상대태양광,0.905,1.13256,22.0,3.2,0.7,91.9,0.2,6.0
진주,2022-09-04,경상대태양광,0.905,2.61792,24.8,0.1,0.5,89.8,4.4,14.4
진주,2022-09-05,경상대태양광,0.905,0.51768,24.5,53.8,0.8,95.5,0.0,2.9
진주,2022-09-06,경상대태양광,0.905,4.19688,23.1,103.7,2.3,73.9,8.4,20.8
진주,2022-09-07,경상대태양광,0.905,4.57848,20.6,,0.5,74.3,11.2,22.3
진주,2022-09-08,경상대태양광,0.905,4.31784,21.1,,0.7,73.0,11.1,20.8
