지점,날짜,발전기명,설비용량(MW),발전량(MWh),평균기온(°C),일강수량(mm),평균 풍속(m/s),평균 상대습도(%),합계 일조시간(hr),합계 일사량(MJ/m2)
보령,2023.4.29,신보령태양광,4.038,2.716902,13,1.5,2.1,86.9,0,
보령,2023.4.30,신보령태양광,4.038,23.299425,12.2,,3.4,74.1,11,
보령,2023.5.1,신보령태양광,4.038,22.117786,13,,0.7,70.3,10.1,
보령,2023.5.2,신보령태양광,4.038,22.356667,16.4,,1.2,45.5,9.8,
보령,2023.5.3,신보령태양광,4.038,18.684953,18.4,,1.8,56.6,6.8,
보령,2023.5.4,신보령태양광,4.038,15.324921,21.1,1,2.3,59.6,4.8,
보령,2023.5.5,신보령태양광,4.038,1.373999,19.5,23.6,3.2,92.8,0,
보령,2023.5.6,신보령태양광,4.038,3.524189,14.8,29.3,1.8,92.3,0,
보령,2023.5.7,신보령태양광,4.038,7.590503,13,2.1,2.2,68.4,0.2,
보령,2023.5.8,신보령태양광,4.038,22.742835,12.7,,0.7,67.5,11.2,
보령,2023.5.9,신보령태양광,4.038,23.795026,13.4,,0.7,70.5,11.4,
보령,2023.5.10,신보령태양광,4.038,20.48851,15.1,,1,73,10,
보령,2023.5.11,신보령태양광,4.038,22.262896,16.6,,0.5,57.9,10.8,
보령,2023.5.12,신보령태양광,4.038,15.565734,16.4,,0.6,58.9,4.9,
보령,2023.5.13,신보령태양광,4.038,20.511167,16.4,,0.3,73,10.5,
보령,2023.5.14,신보령태양광,4.038,22.360041,16.7,,0.4,60.5,11.5,
보령,2023.5.15,신보령태양광,4.038,20.471636,18.6,,1.5,62.5,11.2,
보령,2023.5.16,신보령태양광,4.038,21.908309,22.4,,2.6,53.1,10.9,
보령,2023.5.17,신보령태양광,4.038,21.998945,22.2,,3.3,67.8,11.3,
보령,2023.5.18,신보령태양광,4.038,10.824707,20.1,0,1.6,73.6,0,
보령,2023.5.19,신보령태양광,4.038,18.71798,20.9,,1.7,62.8,8.6,
보령,2023.5.20,신보령태양광,4.038,21.569627,17.5,,2.6,82.6,9.7,
보령,2023.5.21,신보령태양광,4.038,13.513411,16,0,1.9,85.4,4.1,
보령,2023.5.22,신보령태양광,4.038,12.444341,15.9,0,0.9,81,3.8,
보령,2023.5.23,신보령태양광,4.038,23.265918,17.6,,1.2,69.9,11.3,
보령,2023.5.24,신보령태양광,4.038,16.37808,17.8,,1.3,62.8,5.5,
보령,2023.5.25,신보령태양광,4.038,21.803448,19.6,,0.8,54.4,8.9,
보령,2023.5.26,신보령태양광,4.038,19.762217,20.4,0,1.2,64.1,9.5,
보령,2023.5.27,신보령태양광,4.038,3.825748,21.2,7.1,1.3,80.4,0,
보령,2023.5.28,신보령태양광,4.038,0.742925,20,102.4,3.3,95.9,0,
보령,2023.5.29,신보령태양광,4.038,4.869986,19.2,25.3,0.7,96.8,0,
보령,2023.5.30,신보령태양광,4.038,15.664565,21.8,,0.8,84.4,7.7,
보령,2023.5.31,신보령태양광,4.038,17.931181,21.4,,0.4,80.3,6.6,
보령,2023.6.1,신보령태양광,4.038,13.47002,20.5,,0.8,81.9,3.2,
보령,2023.6.2,신보령태양광,4.038,14.528966,19.4,,0.5,83,6.5,
보령,2023.6.3,신보령태양광,4.038,22.846731,20.1,,0.4,67.4,11.7,
보령,2023.6.4,신보령태양광,4.038,20.489233,19.6,,1.7,81.8,11.4,
보령,2023.6.5,신보령태양광,4.038,19.171879,20.1,,1.4,81.1,10.2,
보령,2023.6.6,신보령태양광,4.038,21.009182,19.5,,0.6,76,10.8,
보령,2023.6.7,신보령태양광,4.038,15.244652,19.7,,3,82,6.2,
보령,2023.6.8,신보령태양광,4.038,13.011299,20.6,0.4,2.9,78,3.8,
보령,2023.6.9,신보령태양광,4.038,20.483691,21,0.1,2,83.3,7.5,
보령,2023.6.10,신보령태양광,4.038,15.623584,23.5,,2,65.9,6.7,
보령,2023.6.11,신보령태양광,4.038,19.939391,21.9,,0.9,76.9,9.2,
보령,2023.6.12,신보령태양광,4.038,19.748719,20.7,,0.6,78.4,7.9,
보령,2023.6.13,신보령태양광,4.038,21.367146,20.4,,1,79.4,11.7,
보령,2023.6.14,신보령태양광,4.038,21.390769,20.2,,0.6,79.8,10,
보령,2023.6.15,신보령태양광,4.038,21.307849,20.1,,0.6,78.5,11.8,
보령,2023.6.16,신보령태양광,4.038,21.907584,21.4,,0.7,75.1,11.5,
보령,2023.6.17,신보령태양광,4.038,19.437517,22.4,,0.5,72.6,10.3,
보령,2023.6.18,신보령태양광,4.038,19.831155,22.5,,0.7,71,8.3,
보령,2023.6.19,신보령태양광,4.038,17.951912,23.8,,0.8,66.4,10.5,
보령,2023.6.20,신보령태양광,4.038,5.94894,22.9,13.1,0.7,75.1,1,
보령,2023.6.21,신보령태양광,4.038,5.69487,20.8,5.5,1.1,93.8,1.4,
보령,2023.6.22,신보령태양광,4.038,22.016062,21.2,,0.8,85.8,8.5,
보령,2023.6.23,신보령태양광,4.038,22.801892,23.3,,0.9,82.6,9.7,
보령,2023.6.24,신보령태양광,4.038,21.796218,24.6,0.2,0.5,76.9,11.1,
보령,2023.6.25,신보령태양광,4.038,17.243218,25.3,0.1,1.2,74.1,8.5,
보령,2023.6.26,신보령태양광,4.038,3.738728,23.7,21.6,4.7,94.3,0,
보령,2023.6.27,신보령태양광,4.038,15.86777,23.7,,3.1,89.5,9.1,
보령,2023.6.28,신보령태양광,4.038,8.294864,23.9,1,3,88.5,1.3,
보령,2023.6.29,신보령태양광,4.038,0.983735,24.2,48.3,3.8,93.9,0,
보령,2023.6.30,신보령태양광,4.038,5.622314,23.2,4.8,2.2,97,0.5,
보령,2023.7.1,신보령태양광,4.038,17.471976,24.8,,1.3,89.9,7,
보령,2023.7.2,신보령태양광,4.038,16.477152,25.3,,0.9,85.1,5.4,
보령,2023.7.3,신보령태양광,4.038,17.587682,26.3,,1.4,85.3,8.5,
